Rank,Verbs,Reading,Type,Meaning,S1,T1,S2,T2,S3,T3,Words
549,売る,うる,trans.,to sell,あの店では果物を安く売っている。,That store sells fruit at a discount.,中古の車を50万円で売った。,I sold a used car for five hundred thousand yen.,これはいくらで売りますか。,How much would you like to sell this for?,
550,進む,すすむ,intrans.,"to advance, go forward, precede, make progress",我々は林の中を数キロ進んだ。,We continued through the woods for several kilometers.,作業は遅々として進まない。,The work is making slow progress.,彼女の縁談はとんとん拍子に進んだ。,The arrangement of her marriage went forward smoothly.,
551,渡る,わたる,intrans.,"to cross over, go across, extend, cover, span",彼は道を渡った。,He crossed the street.,彼らは歩いて川を渡った。,They crossed the river on foot.,木々を渡る風が心地よかった。,The wind blowing through the trees was pleasant.,
553,選ぶ,えらぶ,trans.,"to choose, select",彼はよいものを選んだ。,He picked a good one.,この二つの中からどちらかを選びなさい。,Choose one of these two.,どれでも欲しい本を選びなさい。,Choose any of the books you want.,
563,走る,はしる,intrans.,to run,子供たちが走って来た。,The children came running.,この船は１時間30ノットで走る。,This boat does 30 knots an hour.,その道は東西に走っている。,The street runs east and west.,
567,現われる,あらわれる,intrans.,"to appear, come in sight, come out, become apparent",彼は結局現われなかった。,He didn't turn up after all.,薬の効き目が徐々に現れてきた。,The medicine has gradually begun to take effect. ,彼にはよく幻覚症状が現れる。,He often exhibits hallucinations.,
570,住む,すむ,intrans.,"to live, reside, inhabit, dwell",彼はここに住んでいるのですか。,Does he live here?,彼女はそこに約５年間住んだ。,She lived there for about five years.,その家にはだれが住んでいるの?,Who lives in that house?,
592,伝える,つたえる,trans.,"to convey, report, transmit, tell, impart",彼に伝言を伝えてほしい。,I'd like you to give him a message.,家族に悲報を伝える。,Tell the family the sad news.,彼は酒造りの秘訣を息子に伝えた。,He passed on his brewing secrets to his son.,
593,動く,うごく,intrans.,"to move, stir, shift, operate, run, vary",車が雪にはまって動かなくなった。,My car got stuck in the snow.,停電で電車が動かなくなった。,Power outage stopped the trains from running.,バッテリーが上って車が動かない。,The battery is up and the car won't start.,
596,決める,きめる,trans.,"to decide, choose, determine, settle",彼らは最終の計画を決めた。,They settled on a final plan.,子供は一人でいいと決めていた。,We had decided to have just one child.,それは君の決めることだ。,That's for you to decide.,
605,勧める,すすめる,trans.,"to recommend, advice, urge, offer",教授は私に留学を勧めてくれた。,My professor encouraged me to study abroad.,人に勧められてご相談にうかがいました。,I was recommended by someone to consult with you.,遊びに来るよう彼に勧めてください。,Encourage him to come visit.,
607,気付く,きづく,intrans.,"to notice, recognise, perceive, realize",彼女は近づく危険に気付いていた。,She was aware of the approaching danger.,彼の間違いはだれにも気付かれずに済んだ。,His error passed unnoticed.,彼に気付かれずに机の中を調べた。,I went through his desk without him noticing.,
608,描く,えがく,trans.,"to draw, paint, sketch, depict, imagine",風景を描く。,Paint a landscape.,美しい風景を心に描く。,Imagine beautiful scenery to oneself.,一枚の葉が落ちて湖面に輪を描いた。,A leaf fell and made a circle on the lake.,
617,覚える,おぼえる,trans.,"to memorize, remember",英語の単語を覚える。,Memorize English words,そのことは今でもはっきり覚えている。,I remember that clearly to this day.,たくさんの漢字を覚える。,Memorize a lot of Kanji characters,
622,打つ,うつ,trans.,"to hit, strike, knock, beat, pound",車の屋根を激しく打つ雨。,Rain hitting the roof of the car hard,男が棒で打たれた。,The man was beaten with a stick.,波が岸を打っていた。,Waves were hitting the shore.,
631,成す,なす,trans.,"to build, establish, form, accomplish, do",彼らの活動がこの会社の中核を成している。,Their activities form the core of this company.,若くして名を成した。,He made a name for himself at a young age.,私の考えはまだ形をなしていない。,My idea has yet to take shape.,
642,開ける,あける,trans.,"to open, unwrap, clear out, make room",箱のふたを開ける。,Open the lid of a box.,窓は開けておいてください。,Please keep windows open.,私はわくわくしながら包みを開けた。,I excitedly opened the package.,
648,向ける,むける,trans.,"to turn towards, point",新しい事態に皆の注意を向けた。,I turned everyone's attention to a new situation.,担当者に質問を向ける。,Direct your questions to the person in charge.,予算を文化事業に向ける。,Direct the budget to cultural projects.,
650,殺す,ころす,trans.,"to kill, slay, slaughter, suppress",老婆は金をねらわれて殺された。,The old woman was killed for her money.,多くの無実の人々が殺された。,Many innocent people were killed.,感情を殺す。,Suppress one's emotions.,
653,語る,かたる,trans.,"to talk about, speak of, tell, narrate, indicate",彼は真相を語った。,He told the truth.,彼は経験談を語った。,He shared his experience.,思いつくままに語る。,Speak as one thinks of it.,
654,信ずる,しんずる,trans.,"to believe, place trust in, confide in, have faith in",信ずる理由がない。,I have no reason to believe it.,私たちに因果を深く信ずる事と説く。,He tells us to have a deep belief in cause and effect,平和であると信ずると語った。,He said he believed in peace.,
662,合わせる,あわせる,trans.,"to match, join together, unite, combine, add up, mix, face, compare",声を合わせて歌った。,We sang in unison.,四国と九州を合わせたほどの面積である。,It is about the size of Shikoku and Kyushu combined.,これも勘定に合わせてください。,Please add this also to the bill.,
669,用いる,もちいる,trans.,"to use, make use, utilize, utilise",その機械は広く用いられている。,Its machines are widely used,この方法には重力の法則が用いられている。,The law of gravity is utilized in this process.,患者に新薬を用いる。,Use of new drugs on patients.,
673,連れる,つれる,trans.,"to take someone, bring along, go with, accompanied by",彼は娘を連れて出掛けた。,He went out with his daughter.,彼は多くの供を連れていた。,He was accompanied by many attendants.,連れて行ってください。,Please take me with you.,
683,異なる,ことなる,intrans.,"to differ, vary, disagree",私は彼とは意見が異なる。,I don't share his views.,趣味は人によって異なる。,Hobbies vary from person to person.,我々は彼とは考え方が異なっているのだ。,We think differently than he does.,
693,離れる,はなれる,intrans.,"to be separated, be apart, de stint, leave, go away, quit, give up, drift away",ガソリンスタンドはここから遠く離れている。,Gas station is far from here.,彼は両親と離れて暮らしている。,He lives apart from his parents.,列車が駅を離れた。,Train has left the station.,
